Título;Endereço;Taxa;Área;Quartos;Banheiros;Suítes;Vagas;Preço
Apartamento com 3 Quartos à Venda, 205m²;Rua Mandacaru, 2218 - Lagoa Nova, Natal - RN;;205;3;4;4;3;R$ 1.000.000
Apartamento com 3 Quartos à Venda, 99m²;Rua Acari, 20 - Lagoa Nova, Natal - RN;R$ 500;99;3;1;1;2;R$ 520.900
Apartamento com 4 Quartos à Venda, 480m²;Avenida Presidente Getúlio Vargas, 544 - Petrópolis, Natal - RN;R$ 2.500;480;4;3;3;4;R$ 4.800.000
Apartamento com 3 Quartos à Venda, 79m²;Avenida Deputado Antônio Florêncio de Queiroz, 3980 - Ponta Negra, Natal - RN;;79;3;2;2;2;R$ 580.000
Apartamento com 4 Quartos à Venda, 206m²;Avenida Prudente de Morais, 1044 - Tirol, Natal - RN;;206;4;2;2;4;R$ 1.200.000
Apartamento com 2 Quartos à Venda, 55m²;Rua Ministro Mirabeau da Cunha Melo, 1914 - Candelária, Natal - RN;R$ 650;55;2;2;2;1;R$ 240.000
Apartamento com 2 Quartos à Venda, 56m²;Avenida Rio Tamanduateí, 1835 - Pitimbu, Natal - RN;R$ 365;56;2;1;1;1;R$ 110.000
Apartamento com 5 Quartos à Venda, 243m²;Rua Doutor Manoel Dantas, 276 - Petrópolis, Natal - RN;R$ 1.400;243;5;5;5;2;R$ 830.000
Apartamento com Quarto à Venda, 56m²; | Ponta Negra, Natal - RN;R$ 550;56;1;2;2;1;R$ 390.000
Apartamento com 4 Quartos à Venda, 132m²;Rua Doutor Rômulo Jorge, 160 - Lagoa Nova, Natal - RN;R$ 816;132;4;5;5;2;R$ 650.000
Apartamento com Quarto à Venda, 45m²;Avenida Presidente Getúlio Vargas, 788 - Petrópolis, Natal - RN;R$ 1.224;45;1;1;1;--;R$ 255.000
Apartamento com 3 Quartos à Venda, 101m²;Avenida Deputado Antônio Florêncio de Queiroz, 3365 - Ponta Negra, Natal - RN;R$ 657;101;3;3;3;2;R$ 750.000
Apartamento com 2 Quartos para Venda/Aluguel 47m²;Rua Jatuarana, 23 - Ponta Negra, Natal - RN;R$ 300;47;2;1;1;1;R$ 190.000
Apartamento com 4 Quartos à Venda, 152m²;Rua Morais Navarro, 2045 - Lagoa Nova, Natal - RN;;152;4;3;3;2;R$ 275.000
Apartamento com 3 Quartos à Venda, 110m²;Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN;R$ 745;110;3;2;2;2;R$ 380.000
Apartamento com 2 Quartos à Venda, 55m²; | Rocas, Natal - RN;R$ 370;55;2;2;2;2;R$ 260.000
Apartamento com 3 Quartos à Venda, 90m²;Avenida Nascimento de Castro, 1645 - Lagoa Nova, Natal - RN;;90;3;1;1;1;R$ 290.000
Apartamento com 3 Quartos à Venda, 72m²;Rua Princesa Isabel, 10 - Cidade Alta, Natal - RN;R$ 420;72;3;2;2;2;R$ 340.600
Apartamento com 2 Quartos à Venda, 56m²;Rua das Perdizes, 7979 - Pitimbu, Natal - RN;R$ 250;56;2;1;1;1;R$ 205.000
Apartamento com 2 Quartos à Venda, 54m²;Avenida Capitão-mor Gouveia - Nossa Senhora de Nazaré, Natal - RN;R$ 212;54;2;1;1;1;R$ 208.000
Apartamento com 3 Quartos à Venda, 87m²;Rua Anísio de Souza, 2556 - Candelária, Natal - RN;R$ 478;87;3;2;2;2;R$ 390.000
Apartamento com 3 Quartos à Venda, 131m²;Rua Apodi, 421 - Tirol, Natal - RN;;131;3;1;1;3;R$ 800.000
Apartamento com 2 Quartos à Venda, 67m²; | Tirol, Natal - RN;R$ 550;67;2;1;1;--;R$ 300.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós, 1 - Lagoa Nova, Natal - RN;;170;4;5;5;4;R$ 920.000
Apartamento com 4 Quartos à Venda, 136m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;R$ 1;136;4;5;5;3;R$ 790.000
Apartamento com 3 Quartos à Venda, 116m²;Rua Tenente Olávo Francisco dos Santos, 1 - Ponta Negra, Natal - RN;R$ 530;116;3;5;5;2;R$ 520.000
Apartamento com 2 Quartos à Venda, 69m²;Rua Doutor José Bezerra, 70 - Barro Vermelho, Natal - RN;R$ 380;69;2;1;1;3;R$ 410.000
Apartamento com 3 Quartos à Venda, 137m²; | Tirol, Natal - RN;;137;3;4;4;2;R$ 830.000
Apartamento com 3 Quartos à Venda, 76m²;Rua Estudante José Francisco de Souza Filho - Capim Macio, Natal - RN;;76;3;2;2;1;R$ 420.000
Apartamento com 3 Quartos à Venda, 76m²;Rua Estudante José Francisco de Souza Filho - Capim Macio, Natal - RN;;76;3;2;2;1;R$ 420.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Engenheiro João Hélio Alves Rocha - Planalto, Natal - RN;R$ 240;56;2;2;2;1;R$ 120.000
Apartamento com 3 Quartos à Venda, 98m²;Rua dos Tororós, 857 - Lagoa Nova, Natal - RN;R$ 710;98;3;2;2;1;R$ 210.000
Apartamento com 2 Quartos à Venda, 54m²;Rua Antônio Lourenço, 1 - Ponta Negra, Natal - RN;;54;2;2;2;1;R$ 200.000
Apartamento com 4 Quartos à Venda, 208m²;Avenida Rodrigues Alves - Tirol, Natal - RN;R$ 1.500;208;4;5;5;4;R$ 1.050.000
Apartamento com 4 Quartos à Venda, 136m²;Rua General Oliveira Galvão, 1155 - Tirol, Natal - RN;;136;4;1;1;2;R$ 620.000
Apartamento com 2 Quartos à Venda, 54m²;Rua da Lagosta, 155 - Ponta Negra, Natal - RN;R$ 260;54;2;2;2;1;R$ 265.000
Apartamento com 3 Quartos à Venda, 200m²;Rua Sachet, 282 - Ribeira, Natal - RN;R$ 2.110;200;3;5;5;3;R$ 1.000.000
Apartamento com 2 Quartos à Venda, 51m²;Avenida dos Caiapós, 1945 - Pitimbu, Natal - RN;R$ 290;51;2;1;1;1;R$ 145.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2491 - Ponta Negra, Natal - RN;;59;2;2;2;1;R$ 279.900
Apartamento com 3 Quartos à Venda, 75m²;Rua Militão Chaves, 2129 - Candelária, Natal - RN;R$ 300;75;3;2;2;--;R$ 145.000
Apartamento com 3 Quartos à Venda, 150m²;Rua Doutor Carlos Passos, 1610 - Tirol, Natal - RN;R$ 1.100;150;3;3;3;2;R$ 385.000
Apartamento com 4 Quartos à Venda, 165m²;Rua Henri Koster, 1029 - Tirol, Natal - RN;R$ 1.100;165;4;6;6;4;R$ 1.199.000
Apartamento com 3 Quartos à Venda, 109m²;Rua Desportista Fabrício Gomes Pedroza, 20 - Ponta Negra, Natal - RN;R$ 704;109;3;3;3;2;R$ 900.000
Apartamento com 3 Quartos à Venda, 113m²;Avenida Amintas Barros, 343 - Lagoa Nova, Natal - RN;R$ 800;113;3;4;4;2;R$ 540.000
Apartamento com 4 Quartos à Venda, 151m²;Rua Antídio de Azevedo - Lagoa Nova, Natal - RN;R$ 700;151;4;5;5;3;R$ 551.532
Apartamento com 3 Quartos à Venda, 112m²; | Tirol, Natal - RN;R$ 600;112;3;3;3;2;R$ 300.000
Apartamento com 3 Quartos à Venda, 115m²;Rua São João, 1233 - Lagoa Seca, Natal - RN;R$ 900;115;3;1;1;2;R$ 499.900
Apartamento com 2 Quartos à Venda, 54m²;Avenida Capitão-mor Gouveia, 1135 - Nossa Senhora de Nazaré, Natal - RN;R$ 240;54;2;2;2;1;R$ 252.000
Apartamento com 4 Quartos à Venda, 245m²;Rua Açu - Tirol, Natal - RN;R$ 1.000;245;4;4;4;2;R$ 600.000
Apartamento com 3 Quartos à Venda, 80m²;Rua Nélio Tavares, 2000 - Nova Descoberta, Natal - RN;R$ 900;80;3;2;2;2;R$ 295.000
Apartamento com 2 Quartos à Venda, 56m²;Avenida Engenheiro Roberto Freire, 3213 - Ponta Negra, Natal - RN;R$ 520;56;2;2;2;2;R$ 350.000
Apartamento com 5 Quartos à Venda, 166m²;Rua Nossa Senhora de Lourdes, 236 - Tirol, Natal - RN;R$ 950;166;5;4;4;2;R$ 400.000
Apartamento com 2 Quartos à Venda, 52m²;Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN;R$ 380;52;2;1;1;1;R$ 239.000
Apartamento com 3 Quartos à Venda, 91m²;Rua Doutor Poty Nóbrega, 1940 - Lagoa Nova, Natal - RN;R$ 827;91;3;2;2;1;R$ 260.000
Apartamento com 3 Quartos à Venda, 98m²;Rua Desembargador Régulo Tinoco, 1319 - Barro Vermelho, Natal - RN;R$ 757;98;3;3;3;2;R$ 420.000
Apartamento com Quarto à Venda, 56m²;Avenida Governador Sílvio Pedroza, 228 - Areia Preta, Natal - RN;;56;1;1;1;--;R$ 270.000
Apartamento com 4 Quartos à Venda, 150m²; | Tirol, Natal - RN;;150;4;2;2;3;R$ 1.350.000
Apartamento com 3 Quartos à Venda, 104m²;Rua Monsenhor Severiano, 547 - Petrópolis, Natal - RN;R$ 1.300;104;3;3;3;2;R$ 399.000
Apartamento com 4 Quartos à Venda, 165m²; | Tirol, Natal - RN;R$ 900;165;4;1;1;4;R$ 1.300.000
Apartamento com 3 Quartos à Venda, 77m²;Rua Neuza Farache - Capim Macio, Natal - RN;R$ 450;77;3;3;3;1;R$ 284.000
Apartamento com 2 Quartos à Venda, 52m²;Avenida dos Caiapós, 3061 - Pitimbu, Natal - RN;R$ 264;52;2;1;1;1;R$ 100.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2491 - Ponta Negra, Natal - RN;;59;2;2;2;1;R$ 289.900
Apartamento com 3 Quartos à Venda, 123m²; | Candelária, Natal - RN;;123;3;4;4;2;R$ 675.000
Apartamento com 3 Quartos à Venda/Aluguel 96m²;Alameda das Mansões, 701 - Candelária, Natal - RN;;96;3;3;3;2;R$ 500.000
Apartamento com 4 Quartos à Venda, 220m²;Rua Pastor Jerônimo Gueiros, 1254 - Tirol, Natal - RN;;220;4;4;4;2;R$ 590.000
Apartamento com 3 Quartos à Venda, 90m²;Rua Vereador João Alves da Silva Filho, 751 - Tirol, Natal - RN;R$ 450;90;3;2;2;2;R$ 440.000
Apartamento com 2 Quartos à Venda, 55m²; | Ponta Negra, Natal - RN;R$ 600;55;2;2;2;1;R$ 220.000
Apartamento com 2 Quartos à Venda, 74m²;Rua Alto da Boa Vista - Ponta Negra, Natal - RN;R$ 200;74;2;2;2;1;R$ 180.000
Apartamento com 3 Quartos à Venda, 145m²;Avenida Senador Salgado Filho, 3170 - Lagoa Nova, Natal - RN;;145;3;5;5;2;R$ 749.900
Apartamento com 2 Quartos à Venda, 56m²;Rua Eletricista Elias Ferreira, 2600 - Candelária, Natal - RN;R$ 325;56;2;2;2;1;R$ 239.900
Apartamento com 2 Quartos à Venda, 57m²;Rua Neuza Farache, 1875 - Capim Macio, Natal - RN;;57;2;2;2;2;R$ 310.000
Apartamento com 4 Quartos à Venda, 165m²;Rua Ceará Mirim, 1440 - Tirol, Natal - RN;;165;4;5;5;3;R$ 1.300.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2491 - Ponta Negra, Natal - RN;;59;2;2;2;1;R$ 275.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;;170;4;2;2;4;R$ 990.000
Apartamento com 4 Quartos à Venda, 215m²;Rua Maria Auxiliadora, 756 - Tirol, Natal - RN;R$ 1.771;215;4;6;6;2;R$ 800.000
Apartamento com 2 Quartos à Venda, 60m²;Rua Minas Novas, 100 - Neópolis, Natal - RN;;60;2;2;2;1;R$ 130.000
Apartamento com 2 Quartos à Venda, 52m²;Rua Adolfo Gordo - Cidade da Esperança, Natal - RN;R$ 350;52;2;2;2;1;R$ 170.000
Apartamento com 4 Quartos à Venda, 336m²;Rua Trairi, 410 - Petrópolis, Natal - RN;R$ 1.800;336;4;6;6;4;R$ 1.900.000
Apartamento com 3 Quartos à Venda, 94m²;Rua Romualdo Galvão, 00 - Lagoa Nova, Natal - RN;R$ 680;94;3;3;3;1;R$ 280.000
Apartamento com 5 Quartos à Venda, 240m²;Rua Ministro Mirabeau da Cunha Melo - Candelária, Natal - RN;R$ 2.000;240;5;5;5;3;R$ 700.000
Apartamento com 2 Quartos à Venda, 59m²; | Ponta Negra, Natal - RN;;59;2;1;1;1;R$ 140.000
Apartamento com 3 Quartos à Venda, 109m²;Rua Doutor Pedro Segundo de Araújo, 00 - Capim Macio, Natal - RN;;109;3;2;2;2;R$ 610.000
Apartamento com 4 Quartos à Venda, 164m²;Rua Antídio de Azevedo, 1985 - Lagoa Nova, Natal - RN;R$ 970;164;4;2;2;3;R$ 999.900
Apartamento com 2 Quartos à Venda, 54m²;Avenida Capitão-mor Gouveia, 1135 - Nossa Senhora de Nazaré, Natal - RN;;54;2;2;2;1;R$ 220.000
Apartamento com 2 Quartos à Venda, 66m²;Rua Edson Teixeira da Silva - Ponta Negra, Natal - RN;R$ 234;66;2;1;1;1;R$ 189.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 310;59;2;2;2;1;R$ 279.990
Apartamento com 3 Quartos à Venda, 119m²;Rua Monsenhor Honório - Tirol, Natal - RN;;119;3;4;4;2;R$ 670.000
Apartamento com 3 Quartos à Venda, 79m²;Avenida Deputado Antônio Florêncio de Queiroz, 3980 - Ponta Negra, Natal - RN;;79;3;3;3;2;R$ 460.000
Apartamento com 2 Quartos à Venda, 63m²; | Capim Macio, Natal - RN;;63;2;1;1;1;R$ 150.000
Apartamento com 3 Quartos à Venda, 156m²;Rua Alberto Maranhão, 548 - Petrópolis, Natal - RN;R$ 1.147;156;3;4;4;2;R$ 475.000
Apartamento com 3 Quartos à Venda, 150m²;Rua Pastor Gabino Brelaz, 0101 - Capim Macio, Natal - RN;R$ 1.260;150;3;4;4;2;R$ 510.000
Apartamento com 3 Quartos à Venda, 79m²;Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN;;79;3;2;2;2;R$ 440.000
Apartamento com 4 Quartos à Venda, 480m²;Avenida Presidente Getúlio Vargas, 544 - Petrópolis, Natal - RN;R$ 2.500;480;4;3;3;4;R$ 6.097.409
Apartamento com 2 Quartos à Venda, 53m²; | PARNAMIRIM, Natal - RN;;53;2;1;1;1;R$ 100.000
Apartamento com 3 Quartos à Venda, 75m²; | Capim Macio, Natal - RN;;75;3;2;2;--;R$ 160.000
Apartamento com 3 Quartos à Venda, 95m²; | Capim Macio, Natal - RN;R$ 690;95;3;1;1;1;R$ 420.000
Apartamento com 2 Quartos à Venda, 85m²;Rua Joaquim Eduardo de Farias, 211 - Ponta Negra, Natal - RN;R$ 385;85;2;2;2;2;R$ 280.000
Apartamento com 2 Quartos à Venda, 71m²; | Lagoa Nova, Natal - RN;R$ 250;71;2;2;2;1;R$ 168.000
Apartamento com 3 Quartos à Venda, 120m²;Rua Tenente Olavo Francisco dos Santos, 100 - Ponta Negra, Natal - RN;R$ 450;120;3;4;4;2;R$ 670.000
Apartamento com 3 Quartos à Venda, 61m²;Rua Doutor Osvaldo Fortes do Rego, 2050 - Ponta Negra, Natal - RN;;61;3;3;3;2;R$ 310.000
Apartamento com 3 Quartos à Venda, 94m²;Rua Pantanal - Neópolis, Natal - RN;R$ 400;94;3;3;3;2;R$ 300.000
Apartamento com 3 Quartos à Venda, 108m²;Avenida Nascimento de Castro, 1050 - Dix-sept Rosado, Natal - RN;R$ 600;108;3;1;1;2;R$ 459.900
Apartamento com 3 Quartos à Venda, 59m²; | Capim Macio, Natal - RN;R$ 100;59;3;2;2;1;R$ 110.000
Apartamento com 2 Quartos à Venda, 51m²; | Potengi, Natal - RN;R$ 230;51;2;1;1;1;R$ 125.000
Apartamento com 2 Quartos à Venda, 50m²;Rua Abreulandia - Planalto, Natal - RN;R$ 160;50;2;1;1;1;R$ 110.000
Apartamento com 4 Quartos à Venda, 165m²;Rua Henri Koster, 343 - Tirol, Natal - RN;R$ 1.100;165;4;5;5;3;R$ 1.199.000
Apartamento com 2 Quartos à Venda, 54m²;Avenida Deputado Antônio Florêncio de Queiroz, 270 - Ponta Negra, Natal - RN;;54;2;2;2;1;R$ 265.000
Apartamento com 3 Quartos à Venda, 168m²;Rua dos Tororós, 2300 - Lagoa Nova, Natal - RN;R$ 1.400;168;3;5;5;3;R$ 580.000
Apartamento com 4 Quartos à Venda, 238m²;Avenida Amintas Barros, 3675 - Lagoa Nova, Natal - RN;;238;4;5;5;3;R$ 900.000
Apartamento com 3 Quartos à Venda, 75m²;Avenida Capitão-mor Gouveia - Cidade da Esperança, Natal - RN;R$ 350;75;3;2;2;2;R$ 270.697
Apartamento com 3 Quartos à Venda, 120m²;Rua São João, 1233 - Lagoa Seca, Natal - RN;;120;3;2;2;2;R$ 470.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Sebastião Barreto, 33 - Neópolis, Natal - RN;R$ 387;57;2;2;2;1;R$ 200.000
Apartamento com 4 Quartos à Venda, 109m²;Rua Missionário Gunnar Vingren, 1904 - Capim Macio, Natal - RN;R$ 400;109;4;4;4;2;R$ 600.000
Apartamento com Quarto à Venda, 46m²;Rua Padre Lemos - Praia do Meio, Natal - RN;R$ 140;46;1;1;1;10;R$ 195.000
Apartamento com 3 Quartos à Venda, 113m²;Rua Capitão Abdon Nunes, 798 - Tirol, Natal - RN;;113;3;1;1;2;R$ 530.853
Apartamento com 3 Quartos à Venda, 138m²;Rua Doutor Ewerton Dantas Cortez, 1487 - Tirol, Natal - RN;R$ 1.300;138;3;2;2;1;R$ 300.000
Apartamento com 3 Quartos à Venda, 80m²;Rua dos Tororós, 2394 - Lagoa Nova, Natal - RN;R$ 450.000;80;3;2;2;2;R$ 370.000
Apartamento com 3 Quartos à Venda, 67m²;Rua Osvaldo Fortes do Rêgo, 155 - Ponta Negra, Natal - RN;R$ 418;67;3;1;1;2;R$ 319.900
Apartamento com 2 Quartos à Venda, 55m²;Rua Desportista Fabrício Gomes Pedroza, 9164 - Ponta Negra, Natal - RN;;55;2;2;2;1;R$ 329.000
Apartamento com 2 Quartos à Venda, 122m²;Avenida Estrela do Mar - Ponta Negra, Natal - RN;;122;2;2;2;1;R$ 989.000
Apartamento com 2 Quartos à Venda/Aluguel 59m²;Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN;R$ 362;59;2;1;1;1;R$ 290.000
Apartamento com 3 Quartos à Venda, 95m²; | Tirol, Natal - RN;;95;3;2;2;1;R$ 250.000
Apartamento com 3 Quartos à Venda, 69m²;Avenida Rui Barbosa, 1110 - Lagoa Nova, Natal - RN;R$ 540;69;3;2;2;1;R$ 220.000
Apartamento com 3 Quartos à Venda, 123m²;Rua Jaguarari, 4985 - Candelária, Natal - RN;;123;3;4;4;2;R$ 540.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Coronel Costa Pinheiro, s/n - Tirol, Natal - RN;R$ 450;57;2;2;2;1;R$ 260.000
Apartamento com 3 Quartos à Venda, 173m²;Rua Desembargador Felipe Guerra, 985 - Barro Vermelho, Natal - RN;R$ 1.300;173;3;4;4;3;R$ 400.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;R$ 800;170;4;5;5;4;R$ 1.050.000
Apartamento com 2 Quartos à Venda, 56m²; | Ponta Negra, Natal - RN;R$ 420;56;2;2;2;1;R$ 275.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;;170;4;5;5;4;R$ 1.000.000
Apartamento com 3 Quartos à Venda, 142m²;Avenida Prudente de Morais, 0000 - Lagoa Nova, Natal - RN;R$ 800;142;3;5;5;3;R$ 950.000
Apartamento com 3 Quartos à Venda, 98m²;Travessa Dom José Tomaz, 1036 - Tirol, Natal - RN;R$ 1.300;98;3;3;3;2;R$ 450.000
Apartamento com 2 Quartos à Venda, 65m²;Rua Orlando de Lima, 465 - Ponta Negra, Natal - RN;R$ 300;65;2;2;2;1;R$ 184.900
Apartamento com 3 Quartos à Venda, 154m²;Rua Capitão Abdon Nunes - Tirol, Natal - RN;R$ 1.100;154;3;4;4;3;R$ 949.000
Apartamento com 3 Quartos à Venda, 224m²;Rua Ismael Pereira da Silva, 1472 - Capim Macio, Natal - RN;R$ 1.500;224;3;4;4;2;R$ 525.000
Apartamento com 2 Quartos à Venda, 58m²;Rua Tamirim, 30 - Planalto, Natal - RN;;58;2;2;2;1;R$ 122.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 360;59;2;2;2;1;R$ 269.900
Apartamento com 2 Quartos à Venda, 93m²; | Tirol, Natal - RN;;93;2;2;2;2;R$ 165.000
Apartamento com 4 Quartos à Venda, 108m²;Rua Missionário Gunnar Vingren - Capim Macio, Natal - RN;R$ 452;108;4;4;4;2;R$ 524.900
Apartamento com 3 Quartos à Venda, 220m²;Rua Açu, 507 - Tirol, Natal - RN;;220;3;4;4;--;R$ 1.300.000
Apartamento com 2 Quartos à Venda, 55m²;Rua Monsenhor José Paulino, 1061 - Tirol, Natal - RN;R$ 450;55;2;2;2;1;R$ 230.000
Apartamento com 3 Quartos para Venda/Aluguel 87m²; | Neópolis, Natal - RN;R$ 458;87;3;3;3;--;R$ 375.000
Apartamento com 4 Quartos à Venda, 288m²;Rua Antídio de Azevedo, 1985 - Lagoa Nova, Natal - RN;R$ 1.249;288;4;5;5;4;R$ 1.575.000
Apartamento com 2 Quartos à Venda, 46m²;Avenida Deputado Antônio Florêncio de Queiroz, 270 - Ponta Negra, Natal - RN;;46;2;1;1;1;R$ 179.000
Apartamento com 3 Quartos à Venda, 123m²;Rua Jaguarari, 4985 - Candelária, Natal - RN;R$ 550;123;3;4;4;2;R$ 580.000
Apartamento com 2 Quartos à Venda, 54m²;Avenida Campos Sales, 682 - Tirol, Natal - RN;R$ 330;54;2;2;2;1;R$ 310.000
Apartamento com 2 Quartos à Venda, 53m²; | Ponta Negra, Natal - RN;;53;2;2;2;--;R$ 289.000
Apartamento com 3 Quartos à Venda, 84m²;Rua Jundiaí, 429 - Tirol, Natal - RN;R$ 379;84;3;1;1;2;R$ 470.000
Apartamento com 2 Quartos à Venda, 57m²; | Ponta Negra, Natal - RN;R$ 620;57;2;1;1;1;R$ 369.000
Apartamento com 2 Quartos à Venda, 58m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 392;58;2;1;1;1;R$ 270.000
Apartamento com 4 Quartos à Venda, 480m²;Avenida Presidente Getúlio Vargas - Petrópolis, Natal - RN;R$ 2.500;480;4;6;6;4;R$ 5.290.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;;59;2;2;2;1;R$ 264.900
Apartamento com 4 Quartos à Venda, 165m²;Rua Henri Koster, 1029 - Tirol, Natal - RN;R$ 1.100;165;4;5;5;3;R$ 999.000
Apartamento com 4 Quartos à Venda, 136m²;Rua Apodi, 500 - Tirol, Natal - RN;;136;4;1;1;2;R$ 850.000
Apartamento com 2 Quartos à Venda, 55m²;Rua Vereador Manoel Coringa de Lemos - Ponta Negra, Natal - RN;R$ 840;55;2;2;2;1;R$ 260.000
Apartamento com 4 Quartos à Venda, 130m²;Rua Apodi, 500 - Tirol, Natal - RN;R$ 750;130;4;4;4;2;R$ 770.000
Apartamento com 3 Quartos à Venda, 99m²;Avenida Governador Juvenal Lamartine - Tirol, Natal - RN;R$ 750;99;3;3;3;2;R$ 510.000
Apartamento com 3 Quartos à Venda, 165m²;Rua Ceará Mirim, 1140 - Tirol, Natal - RN;R$ 913;165;3;4;4;4;R$ 1.100.000
Apartamento com 3 Quartos à Venda, 84m²;Alameda das Mansões, 3693 - Candelária, Natal - RN;R$ 280;84;3;1;1;2;R$ 220.000
Apartamento com 2 Quartos à Venda, 56m²;Avenida Engenheiro Roberto Freire, 3112 - Ponta Negra, Natal - RN;R$ 500;56;2;2;2;1;R$ 274.000
Apartamento com 4 Quartos à Venda, 196m²;Rua Ismael Pereira da Silva, 1515 - Capim Macio, Natal - RN;R$ 1.100;196;4;5;5;4;R$ 1.390.000
Apartamento com 4 Quartos à Venda, 245m²; | Tirol, Natal - RN;;245;4;5;5;3;R$ 950.000
Apartamento com 2 Quartos à Venda, 78m²;Rua Miguel Rocha, 1921 - Candelária, Natal - RN;R$ 500;78;2;2;2;1;R$ 180.000
Apartamento com 3 Quartos à Venda, 100m²;Rua Amaro Mesquita, 1676 - Lagoa Nova, Natal - RN;R$ 530;100;3;2;2;1;R$ 370.000
Apartamento com 4 Quartos à Venda, 247m²; | Tirol, Natal - RN;;247;4;3;3;2;R$ 650.000
Apartamento com 2 Quartos à Venda, 100m²; | Lagoa Nova, Natal - RN;R$ 400;100;2;2;2;2;R$ 164.900
Apartamento com 2 Quartos à Venda, 53m²;Rua Rio Paranapanema, 0 - Pitimbu, Natal - RN;R$ 250;53;2;1;1;1;R$ 169.000
Apartamento com 3 Quartos à Venda, 75m²;Avenida Rui Barbosa, 1110 - Lagoa Nova, Natal - RN;R$ 330;75;3;2;2;1;R$ 220.000
Apartamento com 2 Quartos à Venda, 62m²;Rua Paracati, 545 - Planalto, Natal - RN;R$ 260;62;2;2;2;1;R$ 146.000
Apartamento com 3 Quartos à Venda, 131m²;Rua Doutor Rômulo Jorge, 160 - Lagoa Nova, Natal - RN;R$ 711;131;3;4;4;2;R$ 790.000
Apartamento com 3 Quartos à Venda, 131m²;Rua Doutor Rômulo Jorge, 160 - Lagoa Nova, Natal - RN;R$ 711;131;3;4;4;2;R$ 790.000
Apartamento com 3 Quartos à Venda, 98m²;Avenida Governador Juvenal Lamartine, 800 - Tirol, Natal - RN;R$ 728;98;3;2;2;2;R$ 490.000
Apartamento com 3 Quartos à Venda, 180m²;Rua Maxaranguape, 680 - Tirol, Natal - RN;R$ 1.200;180;3;4;4;2;R$ 690.000
Apartamento com 3 Quartos à Venda, 83m²;Rua Barão de Lucena, 62 - Pitimbu, Natal - RN;R$ 300;83;3;2;2;2;R$ 299.000
Apartamento com 3 Quartos à Venda, 98m²;Rua Desembargador José Gomes da Costa, 1980 - Capim Macio, Natal - RN;R$ 880;98;3;3;3;2;R$ 380.000
Apartamento com 3 Quartos à Venda, 160m²;Rua Mipibu - Petrópolis, Natal - RN;R$ 1.000;160;3;4;4;2;R$ 650.000
Apartamento com 3 Quartos à Venda, 136m²;Rua Deputado Clóvis Motta, 310 - Lagoa Nova, Natal - RN;R$ 780;136;3;1;1;3;R$ 789.900
Apartamento com 2 Quartos à Venda, 54m²;Rua Ministro Mirabeau da Cunha Melo, 1914 - Candelária, Natal - RN;R$ 450;54;2;2;2;1;R$ 230.000
Apartamento com 3 Quartos à Venda, 91m²;Rua Alexandre Câmara, 1977 - Capim Macio, Natal - RN;R$ 500;91;3;2;2;2;R$ 470.000
Apartamento com 3 Quartos à Venda, 136m²;Rua Deputado Clóvis Motta, 310 - Lagoa Nova, Natal - RN;R$ 780;136;3;1;1;3;R$ 789.900
Apartamento com 3 Quartos à Venda, 66m²;Rua Demócrito de Souza Paiva, 818 - Lagoa Nova, Natal - RN;R$ 420;66;3;2;2;1;R$ 265.000
Apartamento com 3 Quartos à Venda, 99m²;Rua Governador Juvenal Lamartine, 800 - Tirol, Natal - RN;R$ 600;99;3;3;3;2;R$ 445.000
Apartamento com 2 Quartos à Venda, 50m²;Rua Leonora Armstrong, 100 - Ponta Negra, Natal - RN;R$ 545;50;2;2;2;1;R$ 265.000
