Título;Endereço;Taxa;Área;Quartos;Banheiros;Suítes;Vagas;Preço
Apartamento com 3 Quartos à Venda, 98m²;Rua Mossoró, 518 - Tirol, Natal - RN;R$ 390;98;3;3;3;2;R$ 525.000
Apartamento com 3 Quartos à Venda, 98m²;Avenida das Brancas Dunas, 701 - Candelária, Natal - RN;;98;3;3;3;2;R$ 599.000
Apartamento com 3 Quartos à Venda, 180m²;Avenida Governador Silvio Pedroza, 298 - Areia Preta, Natal - RN;R$ 1.300;180;3;4;4;3;R$ 1.130.000
Apartamento com 4 Quartos à Venda, 205m²;Rua General Oliveira Galvão, 1120 - Tirol, Natal - RN;R$ 1.490;205;4;5;5;3;R$ 670.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Sérgio Severo, 1135 - Lagoa Nova, Natal - RN;R$ 414;56;2;2;2;2;R$ 225.000
Apartamento com 3 Quartos à Venda, 118m²;Rua Doutor Antônio Severiano da Câmara, 121 - Lagoa Nova, Natal - RN;R$ 550;118;3;5;5;2;R$ 545.000
Apartamento com 4 Quartos à Venda, 130m²;Rua Apodi, 500 - Tirol, Natal - RN;R$ 750;130;4;4;4;2;R$ 730.000
Apartamento com 2 Quartos à Venda, 49m²; | Pitimbu, Natal - RN;R$ 300;49;2;1;1;1;R$ 170.000
Apartamento com 3 Quartos à Venda, 182m²;Rua Maxaranguape, 550 - Tirol, Natal - RN;R$ 1.150;182;3;4;4;3;R$ 970.000
Apartamento com 4 Quartos à Venda/Aluguel 300m²;Rua Desembargador Dionísio Filgueira, 797 - Petrópolis, Natal - RN;;300;4;2;2;3;R$ 550.000
Apartamento com 2 Quartos à Venda, 64m²;Rua Júlio Gomes Moreira, 5 - Barro Vermelho, Natal - RN;R$ 550;64;2;2;2;1;R$ 220.000
Apartamento com 2 Quartos à Venda, 56m²; | Pitimbu, Natal - RN;R$ 300;56;2;2;2;1;R$ 170.000
Apartamento com 2 Quartos à Venda, 67m²;Rua Lúcia Viveiros, 255 - Neópolis, Natal - RN;R$ 350;67;2;1;1;1;R$ 260.000
Apartamento com 3 Quartos à Venda, 117m²;Rua Doutor Rômulo Jorge, 120 - Lagoa Nova, Natal - RN;R$ 600;117;3;4;4;2;R$ 780.000
Apartamento com 2 Quartos à Venda, 56m²; | Candelária, Natal - RN;R$ 355;56;2;2;2;1;R$ 300.000
Apartamento com 3 Quartos à Venda, 179m²;Rua Jaguarari - Candelária, Natal - RN;;179;3;5;5;3;R$ 920.000
Apartamento com 4 Quartos à Venda, 174m²;Rua José Ovídio do Vale, 1914 - Tirol, Natal - RN;R$ 1.500;174;4;4;4;2;R$ 640.000
Apartamento com 4 Quartos à Venda, 220m²; | Tirol, Natal - RN;R$ 1.800;220;4;4;4;--;R$ 720.000
Apartamento com 3 Quartos à Venda, 105m²; | Tirol, Natal - RN;R$ 670;105;3;3;3;2;R$ 740.000
Apartamento com 2 Quartos para Venda/Aluguel 44m²;Avenida dos Caiapós, 2002 - Pitimbu, Natal - RN;;44;2;1;1;1;R$ 110.000
Apartamento com 3 Quartos à Venda, 184m²;Rua Maxaranguape, 2602 - Tirol, Natal - RN;R$ 1.150;184;3;4;4;3;R$ 970.000
Apartamento com 2 Quartos à Venda, 60m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 362;60;2;2;2;1;R$ 279.900
Apartamento com 2 Quartos à Venda, 120m²;Rua Coronel Joaquim Manoel, 625 - Petrópolis, Natal - RN;R$ 800;120;2;4;4;--;R$ 490.000
Apartamento com 3 Quartos à Venda, 155m²;Rua Ismael Pereira da Silva,, 1515 - Capim Macio, Natal - RN;R$ 950.000;155;3;4;4;3;R$ 1.090.000
Apartamento com 2 Quartos à Venda, 58m²;Rua Jornalista Francisco Sinedino - Lagoa Nova, Natal - RN;R$ 510;58;2;2;2;2;R$ 320.000
Apartamento com 2 Quartos à Venda, 59m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 300;59;2;2;2;1;R$ 270.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;;170;4;6;6;3;R$ 920.000
Apartamento com 2 Quartos à Venda, 54m²; | Ponta Negra, Natal - RN;R$ 540;54;2;2;2;1;R$ 300.000
Apartamento com 3 Quartos à Venda, 76m²; | Neópolis, Natal - RN;R$ 600;76;3;2;2;1;R$ 270.000
Apartamento com 3 Quartos à Venda, 66m²;Rua Florença, 2434 - Ponta Negra, Natal - RN;R$ 200;66;3;1;1;2;R$ 250.000
Apartamento com 3 Quartos à Venda, 90m²;Avenida Rio Branco, 00 - Cidade Alta, Natal - RN;;90;3;3;3;2;R$ 530.000
Apartamento com 2 Quartos à Venda, 55m²;Avenida Engenheiro Roberto Freire, 3112 - Ponta Negra, Natal - RN;R$ 620;55;2;2;2;1;R$ 369.000
Apartamento com 4 Quartos à Venda, 280m²;Rua da Lagosta, 1285 - Ponta Negra, Natal - RN;;280;4;1;1;4;R$ 850.000
Apartamento com 3 Quartos à Venda, 87m²;Rua Anísio de Souza, 2556 - Candelária, Natal - RN;R$ 481;87;3;2;2;2;R$ 610.000
Apartamento com 3 Quartos à Venda, 80m²;Rua Themístocles Duarte, 3003 - Nova Descoberta, Natal - RN;R$ 290;80;3;2;2;1;R$ 110.000
Apartamento com 3 Quartos à Venda, 113m²;Rua Vale de Miranda, 1361 - Tirol, Natal - RN;R$ 600;113;3;3;3;1;R$ 310.000
Apartamento com 2 Quartos à Venda, 120m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;R$ 650;120;2;3;3;2;R$ 661.630
Apartamento com 3 Quartos à Venda, 100m²;Rua Ilíria Tavares Galvão - Tirol, Natal - RN;R$ 520;100;3;2;2;2;R$ 515.000
Apartamento com 4 Quartos à Venda, 360m²;Rua Miguel Barra, 800 - Tirol, Natal - RN;R$ 1.800;360;4;4;4;3;R$ 1.440.000
Apartamento com 3 Quartos à Venda, 94m²;Rua Mossoró, 500 - Tirol, Natal - RN;R$ 450;94;3;3;3;2;R$ 590.000
Apartamento com 4 Quartos à Venda, 261m²;Avenida Governador Sílvio Pedroza, 306 - Areia Preta, Natal - RN;R$ 1.400;261;4;5;5;4;R$ 1.100.000
Apartamento com Quarto à Venda, 25m²;Avenida Engenheiro Roberto Freire, 00 - Ponta Negra, Natal - RN;R$ 600;25;1;1;1;1;R$ 130.000
Apartamento com 3 Quartos à Venda, 154m²;Rua Capitão Abdon Nunes, 828 - Tirol, Natal - RN;R$ 1.000;154;3;5;5;3;R$ 950.000
Apartamento com 2 Quartos à Venda, 57m²;Rua Trairi, 00 - Petrópolis, Natal - RN;;57;2;2;2;--;R$ 235.000
Apartamento com 3 Quartos à Venda, 110m²;Rua Ataulfo Alves, 1904 - Candelária, Natal - RN;R$ 800;110;3;3;3;2;R$ 500.000
Apartamento com 4 Quartos à Venda, 165m²;Rua Ceará Mirim, 1140 - Tirol, Natal - RN;;165;4;5;5;3;R$ 1.300.000
Apartamento com 3 Quartos à Venda, 113m²;Avenida Bernardo Vieira - Tirol, Natal - RN;R$ 600;113;3;3;3;2;R$ 310.000
Apartamento com 2 Quartos à Venda, 56m²;Avenida Engenheiro Roberto Freire, 0000 - Ponta Negra, Natal - RN;;56;2;2;2;1;R$ 265.000
Apartamento com 2 Quartos à Venda, 58m²;Rua Abreulândia, 0 - Planalto, Natal - RN;;58;2;2;2;1;R$ 122.000
Apartamento com 2 Quartos à Venda, 50m²;Avenida Almirante Alexandrino de Alencar, 900 - Tirol, Natal - RN;;50;2;1;1;1;R$ 169.900
Apartamento com 4 Quartos à Venda, 280m²;Rua da Lagosta, 1285 - Ponta Negra, Natal - RN;;280;4;1;1;4;R$ 850.000
Apartamento com 2 Quartos à Venda, 54m²;Rua Adolfo Gordo, 1035 - Cidade da Esperança, Natal - RN;R$ 370;54;2;1;1;1;R$ 164.990
Apartamento com 3 Quartos à Venda, 108m²;Rua Presbítero Porfírio Gomes da Silva, 1568 - Capim Macio, Natal - RN;R$ 540;108;3;2;2;2;R$ 530.000
Apartamento com 2 Quartos à Venda, 53m²;Rua da Lagosta, 150 - Ponta Negra, Natal - RN;R$ 480;53;2;2;2;1;R$ 210.000
Apartamento com Quarto à Venda, 67m²;Rua Lúcia Viveiros, 0 - Neópolis, Natal - RN;;67;1;1;1;--;R$ 245.000
Apartamento com 4 Quartos à Venda, 814m²;Rua Sachet - Ribeira, Natal - RN;;814;4;5;5;12;R$ 10.700.000
Apartamento com 3 Quartos à Venda, 140m²;Avenida Senador Salgado Filho - Tirol, Natal - RN;R$ 300;140;3;3;3;2;R$ 270.000
Apartamento com 2 Quartos à Venda/Aluguel 55m²; | Capim Macio, Natal - RN;;55;2;2;2;1;R$ 200.000
Apartamento com 3 Quartos à Venda, 90m²;Avenida Nascimento de Castro, 1645 - Lagoa Nova, Natal - RN;R$ 750;90;3;2;2;1;R$ 290.000
Apartamento com 3 Quartos à Venda, 160m²;Rua Ceará Mirim, 878 - Tirol, Natal - RN;R$ 650;160;3;3;3;2;R$ 420.000
Apartamento com 3 Quartos à Venda, 123m²;Rua Jaguarari, 4985 - Candelária, Natal - RN;R$ 550;123;3;4;4;2;R$ 525.000
Apartamento com 2 Quartos à Venda, 75m²;Avenida Capitão-mor Gouveia, 01 - Cidade da Esperança, Natal - RN;;75;2;1;1;1;R$ 300.000
Apartamento com 2 Quartos à Venda, 56m²;Rua das Águias - Pitimbu, Natal - RN;R$ 26.900;56;2;--;--;1;R$ 210.000
Apartamento com 4 Quartos à Venda, 205m²; | Tirol, Natal - RN;R$ 1.000;205;4;4;4;2;R$ 900.000
Apartamento com Quarto à Venda, 55m²;Avenida Governador Juvenal Lamartine, 815 - Tirol, Natal - RN;R$ 450;55;1;2;2;1;R$ 263.000
Apartamento com 3 Quartos à Venda, 76m²; | Neópolis, Natal - RN;R$ 512;76;3;2;2;2;R$ 429.900
Apartamento com 4 Quartos à Venda, 170m²;Rua José Ovídio do Vale, 1914 - Tirol, Natal - RN;R$ 1.500;170;4;4;4;2;R$ 640.000
Apartamento com 3 Quartos à Venda, 74m²;Rua Pantanal - Neópolis, Natal - RN;;74;3;2;2;2;R$ 299.000
Apartamento com 4 Quartos à Venda, 360m²;Rua Miguel Barra, 800 - Tirol, Natal - RN;R$ 1.800;360;4;3;3;3;R$ 1.440.000
Apartamento com 2 Quartos à Venda, 62m²;Rua Engenheiro João Hélio Alves Rocha - Planalto, Natal - RN;;62;2;2;2;1;R$ 140.000
Apartamento com 2 Quartos à Venda, 55m²;Avenida Engenheiro Roberto Freire, 00 - Ponta Negra, Natal - RN;R$ 400;55;2;2;2;1;R$ 175.000
Apartamento com 3 Quartos à Venda, 116m²;Rua General Oliveira Galvão, 1059 - Tirol, Natal - RN;R$ 800;116;3;3;3;2;R$ 695.000
Apartamento com 3 Quartos à Venda, 290m²;Rua Joaquim Fabrício, 233 - Petrópolis, Natal - RN;R$ 1.500;290;3;5;5;3;R$ 1.490.000
Apartamento com 2 Quartos à Venda, 50m²;Rua Praia de Muriu - Ponta Negra, Natal - RN;R$ 390;50;2;1;1;1;R$ 170.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;;170;4;6;6;3;R$ 1.000.000
Apartamento com 2 Quartos à Venda, 67m²; | Capim Macio, Natal - RN;R$ 260;67;2;2;2;2;R$ 275.000
Apartamento com 2 Quartos à Venda, 60m²;Avenida Engenheiro Roberto Freire, 3090 - Ponta Negra, Natal - RN;R$ 1.400;60;2;2;2;1;R$ 299.000
Apartamento com 2 Quartos à Venda, 52m²;Rua Doutor Osvaldo Fortes do Rego, 135 - Ponta Negra, Natal - RN;R$ 350;52;2;2;2;1;R$ 260.000
Apartamento com Quarto à Venda, 55m²;Rua dos Pintassilgos, 70 - Pitimbu, Natal - RN;R$ 300;55;1;2;2;1;R$ 185.000
Apartamento com 2 Quartos à Venda, 56m²;Rua Brisa do Mar, 21 - Ponta Negra, Natal - RN;R$ 350;56;2;1;1;1;R$ 170.000
Apartamento com 3 Quartos à Venda, 123m²;Rua dos Potiguares, 365 - Lagoa Nova, Natal - RN;R$ 700;123;3;4;4;2;R$ 485.000
Apartamento com 3 Quartos à Venda, 119m²;Rua Monsenhor Honório, 233 - Tirol, Natal - RN;;119;3;4;4;--;R$ 650.000
Apartamento com 2 Quartos para Venda/Aluguel 52m²;Avenida dos Caiapós, 2002 - Pitimbu, Natal - RN;R$ 250;52;2;1;1;1;R$ 115.000
Apartamento com 4 Quartos à Venda, 167m²;Avenida Afonso Pena, 01 - Tirol, Natal - RN;;167;4;5;5;3;R$ 1.199.000
Apartamento com 3 Quartos à Venda, 260m²;Rua Doutor Manoel Dantas, 424 - Petrópolis, Natal - RN;R$ 1.300;260;3;4;4;3;R$ 1.270.000
Apartamento com 3 Quartos à Venda, 93m²;Rua da Lagosta, 466 - Ponta Negra, Natal - RN;R$ 600;93;3;2;2;2;R$ 320.000
Apartamento com 2 Quartos à Venda, 58m²;Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN;;58;2;2;2;1;R$ 240.000
Apartamento com 2 Quartos à Venda, 89m²;Avenida Governador Sílvio Pedroza, 200 - Areia Preta, Natal - RN;;89;2;1;1;1;R$ 285.000
Apartamento com 4 Quartos à Venda, 108m²;Avenida Nascimento de Castro, 20a - Lagoa Nova, Natal - RN;R$ 450;108;4;4;4;2;R$ 380.000
Apartamento com 3 Quartos à Venda, 90m²;Avenida Capitão-mor Gouveia, 01 - Cidade da Esperança, Natal - RN;R$ 400;90;3;2;2;2;R$ 350.000
Apartamento com 2 Quartos à Venda, 118m²;Rua da Praia, 139 - Ponta Negra, Natal - RN;R$ 1.437;118;2;2;2;2;R$ 375.000
Apartamento com 3 Quartos à Venda, 143m²;Avenida Rui Barbosa, 1000 - Lagoa Nova, Natal - RN;R$ 900;143;3;3;3;3;R$ 640.000
Apartamento com 3 Quartos à Venda, 80m²; | Capim Macio, Natal - RN;R$ 535;80;3;2;2;1;R$ 250.000
Apartamento com 4 Quartos à Venda, 170m²;Rua dos Tororós, 730 - Lagoa Nova, Natal - RN;;170;4;6;6;3;R$ 1.050.000
Apartamento com 3 Quartos à Venda, 77m²;Rua Jornalista Francisco Sinedino, 535 - Lagoa Nova, Natal - RN;R$ 450;77;3;3;3;2;R$ 430.000
Apartamento com 2 Quartos à Venda, 58m²;Rua Orlando de Lima, 465 - Ponta Negra, Natal - RN;R$ 260;58;2;2;2;1;R$ 164.900
Apartamento com 2 Quartos à Venda, 58m²;Rua Tenente Olavo Francisco dos Santos, 98 - Ponta Negra, Natal - RN;R$ 248;58;2;2;2;1;R$ 256.000
Apartamento com 4 Quartos à Venda/Aluguel 106m²;Rua Doutor José Bezerra, 591 - Barro Vermelho, Natal - RN;;106;4;3;3;2;R$ 160.000
Apartamento com 3 Quartos à Venda, 200m²;Rua Meira Brandão, 634 - Barro Vermelho, Natal - RN;R$ 1.150;200;3;5;5;3;R$ 560.000
Apartamento com 3 Quartos para Venda/Aluguel 116m²;Avenida Engenheiro Roberto Freire, 00 - Ponta Negra, Natal - RN;R$ 5;116;3;3;3;2;R$ 490.000
Apartamento com 2 Quartos à Venda, 61m²; | Lagoa Nova, Natal - RN;R$ 440;61;2;2;2;1;R$ 176.500
Apartamento com 2 Quartos à Venda, 125m²;Avenida Prudente de Morais, 7 - Tirol, Natal - RN;R$ 650;125;2;2;2;2;R$ 250.000
Apartamento com 4 Quartos à Venda, 176m²;Rua Morais Navarro, 2052 - Lagoa Nova, Natal - RN;;176;4;5;5;3;R$ 540.000
